title,company,location,description,skills,apply_link
Data Science Intern,Google,Bangalore,"Assist the data science team in building and optimizing ML models for large-scale datasets using Python and TensorFlow.","Python, Machine Learning, TensorFlow, Data Visualization, SQL",https://careers.google.com/jobs/results/?q=data%20science%20intern
AI Research Intern,Microsoft,Hyderabad,"Work with the AI research team to develop intelligent models using deep learning frameworks and NLP-based tasks.","Deep Learning, NLP, PyTorch, Python, Transformer Models",https://careers.microsoft.com/students/us/en
Web Development Intern,Amazon,Chennai,"Develop responsive web applications using modern JavaScript frameworks and integrate backend APIs.","HTML, CSS, JavaScript, React, Node.js, APIs",https://www.amazon.jobs/en/teams/university-tech
Backend Developer Intern,TCS,Pune,"Build and maintain scalable backend services using Java Spring Boot and REST APIs.","Java, Spring Boot, SQL, REST API, Git",https://www.tcs.com/careers
Frontend Developer Intern,HCL,Noida,"Design interactive user interfaces using React.js and ensure cross-browser compatibility and performance.","React.js, HTML, CSS, JavaScript, UI/UX",https://www.hcltech.com/careers/careers-in-india
Data Analyst Intern,IBM,Mumbai,"Work on data cleaning, visualization, and reporting using Python libraries like Pandas and Matplotlib.","Python, Pandas, Excel, Data Visualization, SQL",https://www.ibm.com/careers/internships
Machine Learning Intern,Accenture,Gurugram,"Assist in building and deploying ML models for business insights using scikit-learn and cloud ML tools.","scikit-learn, Python, Statistics, Cloud ML, Data Analysis",https://www.accenture.com/in-en/careers/student-internships
Software Engineer Intern,Infosys,Bangalore,"Develop and test backend microservices and support API integrations using Agile methodologies.","Java, Spring, REST, Docker, Git",https://careers.infosys.com/
Cybersecurity Intern,HCL,Delhi,"Monitor network activity, perform vulnerability testing, and implement basic security measures.","Networking, Cybersecurity, Python, Linux, Firewall",https://www.hcltech.com/careers/careers-in-india
Cloud Computing Intern,TCS,Hyderabad,"Support the cloud deployment and management team using AWS and Azure services.","AWS, Azure, Docker, Kubernetes, CI/CD",https://www.tcs.com/careers
AI Product Intern,Amazon,Remote,"Support the AI product team to improve recommendation systems and personalization algorithms.","AI, Python, Data Analysis, TensorFlow, Recommendation Systems",https://www.amazon.jobs/en/teams/university-tech
Full Stack Developer Intern,Google,Bangalore,"Develop both frontend and backend features for web apps using MERN stack technologies.","MongoDB, Express.js, React, Node.js, JavaScript",https://careers.google.com/jobs/results/?q=full%20stack%20intern
DevOps Intern,Microsoft,Hyderabad,"Work with the cloud team to automate deployments using CI/CD tools and container technologies.","GitHub Actions, Docker, Jenkins, CI/CD, Linux",https://careers.microsoft.com/students/us/en
Data Engineer Intern,IBM,Pune,"Create ETL pipelines, manage data warehouses, and optimize data flows for analytics projects.","SQL, Python, Data Pipeline, Hadoop, Spark",https://www.ibm.com/careers/internships
Mobile App Developer Intern,Infosys,Chennai,"Build Android applications and integrate Firebase services for authentication and real-time database management.","Java, Kotlin, Android Studio, Firebase, REST API",https://careers.infosys.com/
Artificial Intelligence Intern,Accenture,Gurugram,"Assist AI engineers in model evaluation, dataset preparation, and deployment of ML models on cloud platforms.","AI, Python, Pandas, Scikit-learn, TensorFlow",https://www.accenture.com/in-en/careers/student-internships
Blockchain Intern,TCS,Mumbai,"Develop and test smart contracts using Solidity for blockchain-based applications.","Solidity, Ethereum, Smart Contracts, Node.js, Cryptography",https://www.tcs.com/careers
Business Analyst Intern,Google,Noida,"Analyze product usage data and prepare visual reports for decision-making using Power BI and Excel.","Power BI, Excel, SQL, Data Visualization, Communication",https://careers.google.com/jobs/results/?q=business%20analyst%20intern
Data Science Intern,Amazon,Hyderabad,"Assist in predictive modeling and analysis for business forecasting using Python and pandas.","Python, Pandas, Statistics, Machine Learning, NumPy",https://www.amazon.jobs/en/teams/university-tech
Software Developer Intern,Microsoft,Bangalore,"Develop microservices and contribute to open-source tools in the backend ecosystem.","C#, .NET, REST, SQL Server, Docker",https://careers.microsoft.com/students/us/en
Software Engineer Intern,Pinterest,Noida,"Work on feature engineering and product-scale systems in a global discovery platform.","Python, JavaScript, C++, HTML, CSS",https://www.pinterestcareers.com/early-career/university-recruiting/ :contentReference[oaicite:2]{index=2}
Backend Developer Intern,HCLTech,Dehradun,"Design scalable backend microservices and collaborate with cloud teams in an engineering services firm.","Java, Spring Boot, SQL, AWS, Git",https://www.hcltech.com/careers/careers-in-india :contentReference[oaicite:3]{index=3}
Cloud Solutions Intern,HCLTech,Delhi,"Assist deployment of cloud native solutions using Kubernetes and Azure in large-scale enterprise projects.","Azure, Kubernetes, Docker, Python, DevOps",https://www.hcltech.com/careers/careers-in-india :contentReference[oaicite:4]{index=4}
Product Data Science Intern,Pinterest,Delhi,"Analyze user behaviour and build recommendation algorithms for visual discovery platform at scale.","Data Science, SQL, Machine Learning, Python, A/B Testing",https://www.pinterestcareers.com/early-career/university-recruiting/ :contentReference[oaicite:5]{index=5}
Security Engineering Intern,HCLTech,Noida,"Work on cybersecurity tools and tests for enterprise cloud applications, ensuring compliance and monitoring.","Cybersecurity, Python, Linux, Network Security, Penetration Testing",https://www.hcltech.com/careers/careers-in-india :contentReference[oaicite:6]{index=6}
Software Engineer Intern,Meta,Delhi,"Work on backend systems for social media platforms, collaborate with product and infrastructure teams.","Python, Java, REST API, Distributed Systems, SQL",https://metacareers.com/jobs/
Data Science Intern,Deloitte,Noida,"Assist in analytics and forecasting models for clients using big data techniques.","Python, R, SQL, Data Visualization, Machine Learning",https://jobs2.deloitte.com/in/en
Frontend Intern,Pinterest,Dehradun,"Create interactive UI components for visual discovery and personalization features.","React.js, HTML, CSS, JavaScript, UX",https://www.pinterestcareers.com/early-career/university-recruiting/
AI Research Intern,Uber,Noida,"Develop next-gen algorithms in machine learning and reinforcement learning for mobility solutions.","Python, TensorFlow, Reinforcement Learning, Data Science, SQL",https://www.uber.com/careers/list/
Cloud Engineer Intern,Facebook,Delhi,"Assist cloud operations team in optimizing systems and ensuring scalability & reliability.","AWS, Azure, Kubernetes, Python, Linux",https://www.facebookcareers.com/jobs/
Backend Developer Intern,HCLTech,Dehradun,"Develop microservices and manage APIs as part of the enterprise services team.","Java, Spring Boot, SQL, Docker, Git",https://www.hcltech.com/careers/careers-in-india
Cybersecurity Analyst Intern,Deloitte,Delhi,"Monitor and respond to security incidents and support vulnerability assessments for enterprise clients.","Cybersecurity, Python, Linux, Network Security, SIEM",https://jobs2.deloitte.com/in/en
Mobile App Developer Intern,Meta,Noida,"Build mobile applications and integrate backend services for social media platforms.","Kotlin, Java, Android SDK, REST API, Firebase",https://metacareers.com/jobs/
Data Engineer Intern,Uber,Delhi,"Design ETL pipelines and manage large-scale data warehouses for mobility insights.","Python, SQL, Hadoop, Spark, Data Pipeline",https://www.uber.com/careers/list/
Product Management Intern,HCLTech,Noida,"Work with product teams to define features and drive execution in tech-services offerings.","Agile, Jira, Excel, SQL, Stakeholder Management",https://www.hcltech.com/careers/careers-in-india
